SN,X,Y,Zn,Pb,Ag,Cu,Mo,Cr,Ni,Co,Ba
119,409936.02,3299027.12,129,21,0.02,109,2,62,49,24,485
120,410461.84,3298358.11,90,46,0.02,80,2,52,48,22,482
121,405290.74,3295984.89,95,16,0.02,53,1,75,47,21,594
122,412192.98,3308284.72,109,14,0.02,78,1,54,58,29,459
123,411540.89,3308866.11,94,11,0.02,66,1,27,42,20,375
124,412926.19,3309442.55,104,16,0.02,84,2,103,88,35,532
125,410759.16,3310080.37,155,24,0.02,92,4,93,70,34,499
126,410082.53,3312379.9,78,11,0.02,77,2,56,50,24,546
127,410476.35,3313318.6,115,19,0.02,48,1,62,41,22,428
128,411790.26,3313496.6,63,14,0.02,49,1,62,47,20,576
129,410496.94,3314681.59,57,7,0.02,60,1,53,59,19,643
130,411653.98,3314550.34,98,13,0.02,75,2,59,59,18,628
131,426805.1,3297130.52,117,33,0.02,55,1,39,47,15,280
132,426678.3,3293995.17,115,11,0.02,73,2,50,61,18,361
133,427361.9,3292106.84,120,13,0.02,66,2,57,57,16,286
134,427272.51,3294689.41,134,14,0.02,113,2,68,76,20,381
135,426063.55,3294608.8,99,10,0.02,66,2,67,66,20,381
136,423529.94,3294470.75,220,157,0.02,54,1,80,106,31,895
137,424665.17,3295094.57,127,40,0.02,52,1,70,78,31,372
138,409081.96,3315092.21,72,10,0.02,59,2,62,82,31,537
139,407657.15,3317796.96,86,219,0.02,284,2,67,152,52,639
140,407500.91,3318740.18,82,26,0.02,85,2,56,122,33,508
141,406939.43,3317348.52,64,17,0.02,81,2,37,71,30,360
142,406802.64,3316008.68,80,17,0.02,70,1,47,106,34,278
143,405816.12,3315740.13,78,12,0.02,75,2,53,40,39,292
144,404975.81,3315658.53,96,32,0.02,90,2,54,105,34,437
145,404712.33,3316436.56,63,14,0.02,76,1,52,92,33,421
146,404456.62,3315851.34,109,20,0.02,120,2,68,106,39,441
147,404945.63,3314373.18,94,20,0.02,92,2,47,121,34,368
148,403809.91,3313607.22,103,13,0.02,89,2,50,104,39,233
149,403618.09,3312633.79,130,14,0.02,56,2,42,83,36,185
150,415669.9,3318575.06,126,14,0.02,47,2,108,63,42,293
151,416663,3318467.97,62,33,0.02,61,4,89,33,27,386
152,413889.97,3317912.81,62,8,0.02,57,2,67,53,42,254
153,406113.15,3308656.01,97,20,0.02,100,2,101,94,61,429
154,405638.18,3310710.19,62,16,0.02,73,4,25,16,26,342
155,405957.36,3310785.05,66,16,0.02,83,1,21,8,18,389
156,406946.84,3312494.36,63,20,0.02,56,1,25,8,19,380
157,407102.87,3313845.23,60,27,0.02,76,1,19,16,14,426
158,406718.53,3315200.44,70,16,0.02,61,4,42,15,28,450
159,409315.21,3318847.11,65,13,0.02,37,2,24,5,13,305
160,408322.4,3316583.4,73,9,0.02,86,1,81,112,44,583
162,411012.88,3317636.49,113,15,0.02,62,1,58,80,34,562
163,412241.63,3318092.12,34,8,0.02,49,2,64,36,13,300
164,412056.06,3316553.09,49,7,0.02,59,1,41,53,24,456
165,413341.37,3315623.04,80,12,0.02,70,1,65,88,34,598
166,413335.71,3316121.93,80,10,0.02,63,1,76,79,34,493
167,408865.89,3299346.12,91,9,0.02,59,1,33,48,28,272
168,408788.35,3300499.37,30,2,0.02,61,2,64,55,26,315
169,407909.92,3299420.57,31,6,0.02,38,2,40,36,16,319
170,407708.36,3300763.2,286,44,0.02,65,2,78,91,49,548
171,407160.23,3301066.85,111,35,0.02,55,2,35,58,31,556
172,406333.4,3299256.38,101,14,0.02,64,2,49,58,29,492
173,406330.68,3297793.49,147,16,0.02,52,4,81,55,29,545
174,406050.74,3296687.82,39,6,0.02,43,2,40,33,17,420
175,407874.62,3297514.7,51,7,0.02,55,2,31,38,20,358
176,404182.62,3297523.65,136,13,0.02,58,2,132,33,20,566
177,405001.89,3298392.15,116,13,0.02,52,1,117,21,15,702
178,404545,3300313.23,111,12,0.02,70,1,125,34,24,492
179,404965.62,3299800.01,133,15,0.02,71,1,198,40,26,356
180,403982.6,3298955.12,163,19,0.02,70,1,143,32,21,359
181,405213.51,3301681.67,155,18,0.02,55,2,173,32,18,548
182,405704.26,3302575.21,126,14,0.02,122,1,118,31,20,544
183,404599.52,3303316.21,105,13,0.02,57,2,68,18,13,415
184,403841.78,3303943.34,71,2,0.02,59,1,52,9,12,381
185,404054.2,3302811.06,85,11,0.02,81,1,105,24,18,475
186,403626.81,3301418.4,95,8,0.02,56,1,53,11,12,378
187,406908.19,3303274.44,119,12,0.02,47,1,220,22,14,485
188,415832.73,3314584.36,101,17,0.02,55,1,159,26,16,562
189,417624.32,3314138.62,127,11,0.02,66,1,152,32,22,367
190,419641.56,3312860.44,117,13,0.02,68,1,244,39,25,427
191,418488.95,3312325.85,89,14,0.02,60,1,86,23,13,419
192,416582.19,3312872.06,66,19,0.02,175,1,99,56,30,446
193,415196.25,3313381.22,47,14,0.02,173,4,46,46,28,580
194,414836.72,3311821.51,58,22,0.02,177,8,117,63,32,593
195,416030.33,3311369.15,51,20,0.02,153,12,92,56,26,503
196,417728.48,3309971.09,64,20,0.02,173,8,135,63,35,510
197,419711.67,3310543.95,67,15,0.02,182,4,94,54,30,379
198,421198.02,3310511.09,45,8,0.02,207,1,49,54,34,366
199,421642.5,3311970.82,66,20,0.02,165,1,82,88,35,392
200,422190.58,3311634.48,50,10,0.02,212,1,80,52,33,460
201,406872.82,3306000.85,45,12,0.02,103,1,79,37,45,811
202,405860.34,3306164.54,85,17,0.02,78,2,211,55,46,664
203,405039.69,3306182.73,49,28,0.02,121,2,74,46,50,699
204,404128.57,3306944.12,93,23,0.02,206,2,113,38,40,811
205,405122.54,3307988.24,55,18,0.02,55,1,106,47,44,394
206,406508.84,3307489.04,46,22,0.02,111,2,173,53,45,751
207,407205.58,3306496.7,45,14,0.02,77,1,191,57,46,665
208,411310.21,3311383.72,135,9,0.02,92,2,79,92,42,471
209,409358.59,3311155.59,101,8,0.02,83,2,85,88,39,516
210,409762.56,3309800.33,90,41,0.02,76,4,33,44,18,1200
211,410767.79,3308772.74,144,11,0.02,81,2,52,53,29,549
212,410851.95,3308428.37,123,17,0.02,72,2,79,66,33,398
213,414471.66,3308266.92,86,10,0.02,60,2,63,64,22,483
214,412241.34,3307087.54,254,17,0.02,165,2,54,70,30,540
215,412573.11,3306276,114,8,0.02,81,2,63,74,32,541
216,411268.12,3306120,108,11,0.02,83,2,69,85,39,451
217,411687.57,3305451.68,102,39,0.02,108,4,82,43,17,535
218,410175.19,3304721.47,52,43,0.02,171,8,110,48,44,609
219,410491.64,3304441.8,49,49,0.02,106,4,90,54,44,652
220,415951.72,3299711.62,35,13,0.02,75,1,59,39,43,477
221,414069.18,3292433.99,36,12,0.02,47,2,94,43,39,490
222,413578.75,3294022.62,65,15,0.02,84,1,60,14,25,681
223,416756.03,3297444.79,149,14,0.02,56,12,104,64,55,292
224,421741.6,3291712.81,64,34,0.02,68,1,108,63,49,445
225,420556.65,3292363.94,31,17,0.02,46,1,114,14,27,686
226,420885.35,3293724.48,25,9,0.02,26,2,157,8,22,932
227,418867.68,3291445.24,55,16,0.02,68,2,80,69,39,468
228,419392.11,3293114.6,94,18,0.02,60,2,85,41,47,442
229,417843.89,3292926.58,46,14,0.02,82,4,114,36,40,614
230,419139.48,3294235.82,31,10,0.02,42,2,115,24,28,612
231,419642.37,3295650.66,44,14,0.02,56,4,108,32,37,528
232,420892.78,3301570.3,44,18,0.02,72,2,58,42,44,502
